COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Latvia,LVA,European Region,REPORTING,14-05-2023,2978080,1344301,156.1,70.468,1304678,68.391,,30-12-2020,9,550533,28.859
Lebanon,LBN,Eastern Mediterranean Region,REPORTING,22-12-2022,5814699,2740227,85.192,40.147,2414223,35.371,,14-02-2021,10,660249,9.673
Lesotho,LSO,African Region,REPORTING,19-03-2023,1339097,1014073,62.509,47.337,938088,43.79,,10-03-2021,3,177816,8.3
Liberia,LBR,African Region,REPORTING,11-12-2022,4460668,3903802,88.196,77.186,3730967,73.768,,01-04-2021,1,1987,0.039
Libya,LBY,Eastern Mediterranean Region,REPORTING,16-01-2023,3739158,2316327,54.417,33.71,1236102,17.989,,11-04-2021,10,186729,2.718
Liechtenstein,LIE,Other,REPORTING,10-04-2022,71104,26681,183.5,68.86,26346,67.995,,06-01-2021,3,18310,47.255
Lithuania,LTU,European Region,REPORTING,14-05-2023,4532276,1956451,162.2,70.175,1907015,68.252,,23-12-2020,5,902024,32.283
Luxembourg,LUX,European Region,REPORTING,14-05-2023,1337742,469267,213.7,74.95,462709,73.902,,30-12-2020,8,368474,58.852
Madagascar,MDG,African Region,REPORTING,21-05-2023,2973152,2580188,10.737,9.318,2519918,9.1,,10-05-2021,3,156776,0.566
Malawi,MWI,African Region,REPORTING,21-05-2023,8168028,5234809,42.698,27.364,4092667,21.394,,11-03-2021,2,1106940,5.786
Malaysia,MYS,Western Pacific Region,REPORTING,04-06-2023,72628221,28137456,224.397,86.935,27550446,85.122,,24-02-2021,8,16336757,50.475
Maldives,MDV,South-East Asia Region,REPORTING,25-05-2023,951764,399308,176.075,73.872,385167,71.255,,01-02-2021,8,167289,30.948
Mali,MLI,African Region,REPORTING,14-05-2023,5922585,4354292,29.246,21.502,3633589,17.943,,31-03-2021,1,,
Malta,MLT,European Region,REPORTING,14-05-2023,1280134,450522,248.8,87.554,444899,86.461,,23-12-2020,4,352628,68.529
Marshall Islands,MHL,Western Pacific Region,REPORTING,24-03-2023,110742,47077,187.083,79.53,40689,68.738,,29-12-2020,3,18559,31.353
Martinique,MTQ,Region of the Americans,REPORTING,02-06-2023,401816,150795,107.075,40.184,145536,38.782,,,2,92919,24.761
Mauritania,MRT,African Region,REPORTING,14-05-2023,4068530,2101236,87.502,45.191,1538089,33.08,,26-03-2021,2,383866,8.256
Mauritius,MUS,African Region,REPORTING,21-05-2023,2615218,1123773,205.636,88.363,1088142,85.561,,26-01-2021,3,640398,50.355
Mexico,MEX,Region of the Americans,REPORTING,02-06-2023,222226293,96727823,172.358,75.022,81346379,63.092,,24-12-2020,8,57014052,44.22
Micronesia (Federated States of),FSM,Western Pacific Region,REPORTING,28-03-2023,198749,83871,172.791,72.917,80910,70.342,,13-01-2021,4,30537,26.549
Monaco,MCO,European Region,REPORTING,04-12-2022,71027,25319,181,64.517,24933,63.533,,30-06-2021,7,17806,45.373
Mongolia,MNG,Western Pacific Region,REPORTING,17-03-2023,5668144,2284018,172.899,69.671,2185282,66.659,,23-02-2021,6,1058839,32.299
Montenegro,MNE,European Region,REPORTING,04-12-2022,523735,272152,83.4,43.763,251583,40.456,,24-02-2021,5,0,0
Montserrat,MSR,Region of the Americans,REPORTING,02-06-2023,4619,2104,92.398,42.088,1952,39.048,,08-02-2021,2,563,11.262
Morocco,MAR,Eastern Mediterranean Region,REPORTING,14-05-2023,55389602,25020168,150.064,67.786,23521989,63.727,,28-01-2021,10,6884356,18.651
Mozambique,MOZ,African Region,REPORTING,23-04-2023,29457535,19939353,94.248,63.795,19765811,63.24,,08-03-2021,3,1260643,4.033
Myanmar,MMR,South-East Asia Region,REPORTING,18-06-2022,64549994,34777314,118.637,63.917,27545329,50.626,,27-01-2021,2,2227351,4.094
Namibia,NAM,African Region,REPORTING,14-05-2023,990462,616314,38.981,24.256,538776,21.204,,19-03-2021,4,298560,11.75
Nauru,NRU,Western Pacific Region,REPORTING,20-02-2023,32157,13106,296.816,120.971,11346,104.726,,09-04-2021,2,7705,71.119
Nepal,NPL,South-East Asia Region,REPORTING,06-06-2023,62032595,27801458,212.901,95.417,24379336,83.672,,27-01-2021,8,9851801,33.812
Netherlands,NLD,European Region,REPORTING,11-09-2022,36105753,12776868,207.4,73.398,11957152,68.689,,06-01-2021,6,9417108,54.098
New Caledonia,NCL,Western Pacific Region,REPORTING,03-04-2023,480497,192371,168.301,67.381,184801,64.729,,20-01-2021,2,103325,36.191
New Zealand,NZL,Western Pacific Region,REPORTING,21-04-2023,12252378,4241210,254.081,87.951,4084115,84.693,,19-02-2021,4,2719283,56.391
Nicaragua,NIC,Region of the Americans,REPORTING,02-06-2023,15498213,6404524,233.951,96.679,6117158,92.341,,03-03-2021,11,2892531,43.664
Niger,NER,African Region,REPORTING,12-03-2023,7339299,6217508,30.319,25.685,5454196,22.532,,29-03-2021,2,,
Nigeria,NGA,African Region,REPORTING,19-03-2023,116606863,82325196,56.567,39.937,69793071,33.857,,05-03-2021,1,12313372,5.973
Niue,NIU,Western Pacific Region,REPORTING,04-03-2023,4923,1638,304.265,101.236,1635,101.051,,08-06-2021,1,1225,75.711
North Macedonia,MKD,European Region,REPORTING,07-05-2023,1862987,854570,89.4,41.159,838181,40.37,,17-02-2021,7,161633,7.785
Northern Mariana Islands (Commonwealth of the),MNP,Western Pacific Region,REPORTING,30-05-2023,123536,46824,214.632,81.352,45953,79.839,,19-12-2020,3,26121,45.383
Norway,NOR,European Region,REPORTING,14-05-2023,12333824,4347099,229.8,80.988,4062092,75.678,,23-12-2020,4,3020359,56.27
occupied Palestinian territory,PSE,Eastern Mediterranean Region,REPORTING,18-10-2022,3748571,2012767,73.481,39.455,1776973,34.833,,02-02-2021,10,336967,6.605
Oman,OMN,Eastern Mediterranean Region,REPORTING,25-10-2022,7086050,3257365,138.762,63.787,3048826,59.703,,29-12-2020,11,779859,15.272
Pakistan,PAK,Eastern Mediterranean Region,REPORTING,04-06-2023,338958481,165551403,153.45,74.947,140451320,63.584,,03-02-2021,11,51177750,23.169
Palau,PLW,Western Pacific Region,REPORTING,10-03-2023,51032,18573,282.069,102.659,18278,101.028,,03-01-2021,3,12885,71.219
Panama,PAN,Region of the Americans,REPORTING,02-06-2023,8901881,3533579,206.312,81.895,3174229,73.567,,20-01-2021,2,1769698,41.015
Papua New Guinea,PNG,Western Pacific Region,REPORTING,04-06-2023,532983,390289,5.957,4.362,329329,3.681,,30-03-2021,4,35747,0.4
Paraguay,PRY,Region of the Americans,REPORTING,02-06-2023,9784169,3995915,137.177,56.024,3547736,49.74,,22-02-2021,8,1660692,23.283
Peru,PER,Region of the Americans,REPORTING,02-06-2023,89593907,30487563,271.728,92.465,28654963,86.907,,09-02-2021,4,22143074,67.158
Philippines,PHL,Western Pacific Region,REPORTING,19-03-2023,189317158,82684774,172.764,75.455,78443972,71.585,,01-03-2021,11,23811248,21.729
Pitcairn Islands,PCN,Western Pacific Region,REPORTING,29-08-2022,117,47,234,94,47,94,,17-05-2021,1,23,46
Poland,POL,European Region,REPORTING,14-05-2023,58206296,22982713,153.3,60.548,22703730,59.813,,23-12-2020,5,12530960,33.013
Portugal,PRT,European Region,REPORTING,14-05-2023,27771091,9786666,269.7,95.215,8901440,86.456,,23-12-2020,12,7053415,68.507
Puerto Rico,PRI,Region of the Americans,REPORTING,02-06-2023,7846764,2905470,274.281,101.56,2688410,93.972,,,4,1808780,63.225
Qatar,QAT,Eastern Mediterranean Region,REPORTING,07-05-2023,7609178,2852178,264.111,98.998,2852178,98.998,,,10,1904822,66.115
Republic of Korea,KOR,Western Pacific Region,REPORTING,25-05-2023,135852851,44894318,264.98,87.566,42969958,83.812,,26-02-2021,5,33643904,65.622
Republic of Moldova,MDA,European Region,REPORTING,14-05-2023,2287894,1108735,56.7,27.485,1078250,26.729,,03-03-2021,7,402330,9.974
Romania,ROU,European Region,REPORTING,07-05-2023,16110007,8187839,83.3,42.361,8142015,42.124,,27-01-2021,4,1768563,9.15
Russian Federation,RUS,European Region,OWID,26-05-2023,186678610,88798804,127.9,60.848,79701705,54.615,,,2,,
Rwanda,RWA,African Region,REPORTING,01-01-2023,26106436,10572981,201.56,81.631,9897876,76.418,,05-03-2021,7,5879013,45.39
Saba,XCA,Region of the Americans,REPORTING,02-06-2023,4979,1687,257.579,87.274,1667,86.239,,,,1170,60.528
"Saint Helena, Ascension and Tristan da Cunha",SHN,African Region,OWID,05-05-2021,7892,4361,129.995,71.833,3531,58.162,,,1,,
Saint Kitts and Nevis,KNA,Region of the Americans,REPORTING,02-06-2023,64297,33794,120.877,63.532,27000,50.76,,22-02-2021,3,3465,6.514
Saint Lucia,LCA,Region of the Americans,REPORTING,02-06-2023,122977,60140,66.971,32.751,54971,29.936,,17-02-2021,5,7866,4.284
Saint Vincent and the Grenadines,VCT,Region of the Americans,REPORTING,02-06-2023,73443,37532,66.201,33.831,31632,28.513,,01-02-2021,5,4279,3.857
Samoa,WSM,Western Pacific Region,REPORTING,24-02-2023,453130,191403,228.376,96.466,177954,89.688,,18-04-2021,2,82268,41.463
San Marino,SMR,European Region,REPORTING,22-05-2022,69338,26357,204.3,76.501,23633,68.595,,24-02-2021,2,19348,56.158
Sao Tome and Principe,STP,African Region,REPORTING,07-05-2023,262837,140256,119.93,63.997,111986,51.098,,15-03-2021,2,34494,15.739
Saudi Arabia,SAU,Eastern Mediterranean Region,REPORTING,25-04-2023,68534631,27041364,196.86,77.674,25433941,73.057,,06-01-2021,10,16059326,46.129
Senegal,SEN,African Region,REPORTING,07-05-2023,2936343,2684696,17.537,16.034,1442833,8.617,,23-02-2021,3,815965,4.873
Serbia,SRB,European Region,REPORTING,05-03-2023,6722671,3398116,97.1,49.058,3324555,47.996,,23-12-2020,5,0,0
Seychelles,SYC,African Region,REPORTING,09-04-2023,224558,88520,228.332,90.008,83565,84.97,,10-01-2021,4,44936,45.691
Sierra Leone,SLE,African Region,REPORTING,21-05-2023,8124614,5252127,101.851,65.841,4474092,56.088,,15-03-2021,2,865598,10.851
Singapore,SGP,Western Pacific Region,REPORTING,28-03-2023,14904028,5156281,254.755,88.136,5119313,87.505,,30-12-2020,4,4628434,79.114
Sint Eustatius,XBA,Region of the Americans,REPORTING,02-06-2023,4319,1791,137.592,57.056,1686,53.711,,,,767,24.435
Sint Maarten,SXM,Region of the Americans,REPORTING,02-06-2023,66829,29788,155.844,69.465,26773,62.434,,22-02-2021,3,9146,21.328
Slovakia,SVK,European Region,REPORTING,14-05-2023,7220974,2839390,132.3,52.024,2791155,51.14,,23-12-2020,7,1686204,30.895
Slovenia,SVN,European Region,REPORTING,14-05-2023,3009930,1223424,143.6,58.373,1193132,56.928,,23-12-2020,8,650669,31.045
Solomon Islands,SLB,Western Pacific Region,REPORTING,30-04-2023,610594,334834,88.893,48.747,252585,36.773,,23-03-2021,4,27444,3.995
Somalia,SOM,Eastern Mediterranean Region,REPORTING,30-04-2023,9443849,8370355,59.421,52.666,7035193,44.265,,16-03-2021,11,,
South Africa,ZAF,African Region,REPORTING,14-05-2023,38841308,24209938,65.49,40.82,21038797,35.473,,17-02-2021,2,4377439,7.381
South Sudan,SSD,African Region,REPORTING,07-05-2023,4312900,4262480,38.53,38.079,4220606,37.705,,06-04-2021,2,440238,3.933
Spain,ESP,European Region,REPORTING,14-05-2023,112806846,41326543,238.3,87.311,37482295,79.189,,30-12-2020,4,26557455,56.108
Sri Lanka,LKA,South-East Asia Region,REPORTING,30-10-2022,40116590,17143761,187.345,80.061,14752827,68.896,,29-01-2021,6,8220002,38.387
Sudan,SDN,Eastern Mediterranean Region,REPORTING,02-04-2023,22598737,15207452,51.537,34.681,13416394,30.597,,09-03-2021,11,3891363,8.874
Suriname,SUR,Region of the Americans,REPORTING,02-06-2023,554588,267820,94.538,45.654,237879,40.55,,23-02-2021,5,48889,8.334
Sweden,SWE,European Region,REPORTING,14-05-2023,23221955,7470334,224.9,72.334,7332646,71.001,,23-12-2020,5,5540679,53.649
Switzerland,CHE,European Region,REPORTING,14-05-2023,16754460,6096538,193.6,70.84,5722923,66.499,,23-12-2020,6,4995324,58.044
Syrian Arab Republic,SYR,Eastern Mediterranean Region,REPORTING,18-04-2023,5090630,3295630,29.088,18.831,2358365,13.476,,01-04-2021,11,75881,0.434
Tajikistan,TJK,European Region,REPORTING,04-12-2022,18871161,5311967,197.9,55.695,5170582,54.212,,24-03-2021,6,5200841,54.53
Thailand,THA,South-East Asia Region,REPORTING,02-06-2023,139247715,57644662,199.495,82.586,54175237,77.615,,28-02-2021,8,27427816,39.295
The United Kingdom,GBR,European Region,REPORTING,11-09-2022,151248820,53813491,222.8,79.068,50762968,74.586,,21-12-2020,3,,
Timor-Leste,TLS,South-East Asia Region,REPORTING,06-06-2023,2018644,884018,153.108,67.05,799488,60.639,,07-04-2021,4,335138,25.419
Togo,TGO,African Region,REPORTING,02-04-2023,3401991,2246404,41.093,27.135,1554066,18.772,,10-03-2021,1,427804,5.168
Tokelau,TKL,Western Pacific Region,REPORTING,05-12-2022,6342,2203,469.778,163.185,2203,163.185,,20-07-2021,1,968,71.704
Tonga,TON,Western Pacific Region,REPORTING,30-04-2023,204640,87345,193.614,82.639,77366,73.197,,14-04-2021,2,38545,36.468
Trinidad and Tobago,TTO,Region of the Americans,REPORTING,02-06-2023,1589640,754399,113.587,53.905,718969,51.374,,17-02-2021,5,174836,12.493
Tunisia,TUN,Eastern Mediterranean Region,REPORTING,06-06-2023,13252802,7218831,112.135,61.08,6401540,54.165,,13-03-2021,10,1258438,10.648
Turkey,TUR,European Region,REPORTING,29-01-2023,139694693,50974980,,61.919,50670345,60.935,,,3,27896331,33.547
Turkmenistan,TKM,European Region,REPORTING,05-02-2023,13040514,3359468,216.2,55.702,3358426,55.684,,24-02-2021,7,3171535,52.586
Turks and Caicos Islands,TCA,Region of the Americans,REPORTING,02-06-2023,73907,32815,190.885,84.754,30710,79.317,,11-01-2021,1,7443,19.224
Tuvalu,TUV,Western Pacific Region,REPORTING,01-02-2023,26783,9763,227.129,82.793,9505,80.605,,13-04-2021,1,5745,48.719
Uganda,UGA,African Region,REPORTING,26-03-2023,26406936,19488104,57.731,42.605,13043107,28.515,,10-03-2021,5,745313,1.629
Ukraine,UKR,European Region,REPORTING,27-02-2022,31668577,15774300,72.4,36.069,15153577,34.65,,24-02-2021,6,741197,1.695
United Arab Emirates,ARE,Eastern Mediterranean Region,REPORTING,06-07-2022,24922054,9991089,251.982,101.018,9792266,99.008,,,11,5138699,51.956
United Republic of Tanzania,TZA,African Region,REPORTING,12-03-2023,39392419,34434933,65.946,57.647,32165791,53.848,,28-07-2021,3,,
United States of America,USA,Region of the Americans,REPORTING,02-06-2023,668882018,267321711,202.078,80.761,227948938,68.866,,14-12-2020,4,116629517,35.235
Uruguay,URY,Region of the Americans,REPORTING,02-06-2023,9023199,3009801,259.755,86.645,2902437,83.554,,27-02-2021,3,2079949,59.877
Uzbekistan,UZB,European Region,REPORTING,16-04-2023,75807715,21717290,226.5,64.887,18147665,54.222,,28-04-2021,9,15454425,46.175
Vanuatu,VUT,Western Pacific Region,REPORTING,20-02-2023,355430,176624,115.721,57.505,162250,52.825,,02-06-2021,3,16556,5.39
Venezuela (Bolivarian Republic of),VEN,Region of the Americans,REPORTING,02-06-2023,37860994,22157232,133.145,77.92,14287370,50.244,,22-02-2021,6,651502,2.291
Viet Nam,VNM,Western Pacific Region,REPORTING,01-06-2023,266419940,90268546,273.704,92.737,85953004,88.303,,08-03-2021,6,57951664,59.536
Wallis and Futuna,WLF,Western Pacific Region,REPORTING,23-01-2023,17303,7150,153.859,63.578,6803,60.493,,19-03-2021,1,3350,29.788
Yemen,YEM,Eastern Mediterranean Region,REPORTING,18-04-2023,1275368,1032545,4.276,3.462,788707,2.644,,20-04-2021,11,63989,0.215
Zambia,ZMB,African Region,REPORTING,09-04-2023,13614983,11637730,74.059,63.304,9147920,49.76,,14-04-2021,3,1137360,6.187
Zimbabwe,ZWE,African Region,REPORTING,14-05-2023,13935112,7208256,93.758,48.498,5386882,36.244,,18-02-2021,4,2002841,13.475
