COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_LAST_DOSE,PERSONS_LAST_DOSE_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED,PERSONS_BOOSTER_ADD_DOSE,PERSONS_BOOSTER_ADD_DOSE_PER100
Bahrain,BHR,Eastern Mediterranean Region,REPORTING,21-12-2022,3476633,1241174,204.319,72.943,1226796,72.098,,04-11-2020,11,1008663,59.278
Bangladesh,BGD,South-East Asia Region,REPORTING,06-06-2023,359340705,151352473,218.193,91.902,140511683,85.319,,27-01-2021,8,67476549,40.972
Barbados,BRB,Region of the Americans,REPORTING,02-06-2023,381721,163846,132.83,57.015,155036,53.949,,08-01-2021,5,62839,21.867
Belarus,BLR,European Region,REPORTING,16-04-2023,21205264,6438808,224.4,68.14,6354262,67.246,,03-02-2021,5,5699425,60.316
Belgium,BEL,European Region,REPORTING,14-05-2023,29117995,9254335,252.7,80.316,9158096,79.481,,30-12-2020,4,7244556,62.873
Belize,BLZ,Region of the Americans,REPORTING,02-06-2023,510770,258456,128.454,64.999,221408,55.682,,01-03-2021,5,50238,12.634
Benin,BEN,African Region,REPORTING,18-12-2022,4232541,3697190,34.913,30.497,2742837,22.625,,29-03-2021,5,,
Bermuda,BMU,Region of the Americans,REPORTING,02-06-2023,132042,48554,212.037,77.97,47657,76.529,,11-01-2021,3,31829,51.112
Bhutan,BTN,South-East Asia Region,REPORTING,30-10-2022,2011426,699116,260.68,90.605,677669,87.826,,27-03-2021,5,634641,82.249
Bolivia (Plurinational State of),BOL,Region of the Americans,REPORTING,02-06-2023,16016290,7492606,137.208,64.187,6295624,53.933,,30-01-2021,7,2487668,21.311
Bonaire,XAA,Region of the Americans,REPORTING,02-06-2023,43070,17460,205.929,83.481,16189,77.404,,,,8125,38.848
"Bonaire, Sint Eustatius and Saba",BES,Region of the Americans,OWID,01-09-2021,35845,19109,137.934,73.533,16736,64.401,,,2,,
Bosnia and Herzegovina,BIH,European Region,REPORTING,29-01-2022,1924950,943394,58.7,28.755,846080,25.789,,,4,,
Botswana,BWA,African Region,REPORTING,07-05-2023,3171667,1951054,134.871,82.966,1663490,70.738,,26-03-2021,6,507654,21.587
Brazil,BRA,Region of the Americans,REPORTING,02-06-2023,513329718,188746389,241.499,88.797,171459392,80.664,,17-01-2021,5,110382337,51.93
British Virgin Islands,VGB,Region of the Americans,REPORTING,02-06-2023,41453,19466,137.094,64.378,18261,60.393,,11-02-2021,3,3726,12.323
Brunei Darussalam,BRN,Western Pacific Region,REPORTING,28-04-2023,1291978,451032,295.323,103.098,446630,102.092,,03-04-2021,5,340379,77.805
Bulgaria,BGR,European Region,REPORTING,14-05-2023,4617676,2108296,66.4,30.329,2080070,29.923,,30-12-2020,4,832410,11.975
Burkina Faso,BFA,African Region,REPORTING,19-03-2023,6674010,5152110,31.928,24.647,4129254,19.754,,02-06-2021,3,,
Burundi,BDI,African Region,REPORTING,14-05-2023,39182,36909,0.33,0.31,36321,0.305,,18-10-2021,1,314,0.003
Cabo Verde,CPV,African Region,REPORTING,25-09-2022,859940,356734,154.669,64.162,308720,55.526,,18-03-2021,4,749,0.135
Cambodia,KHM,Western Pacific Region,REPORTING,26-05-2023,47030856,15288684,281.302,91.445,14660594,87.688,,10-02-2021,7,10647839,63.687
Cameroon,CMR,African Region,REPORTING,07-05-2023,4735141,3656503,17.838,13.774,3107836,11.707,,12-04-2021,4,765051,2.882
Canada,CAN,Region of the Americans,REPORTING,02-06-2023,97596974,32645232,258.589,86.495,31311576,82.962,,14-12-2020,6,19776324,52.399
Cayman Islands,CYM,Region of the Americans,REPORTING,02-06-2023,151822,62085,231.013,94.469,60664,92.307,,15-01-2021,1,24064,36.616
Central African Republic,CAF,African Region,REPORTING,21-05-2023,2914105,2381935,60.336,49.318,2266531,46.928,,19-03-2021,2,226816,4.696
Chad,TCD,African Region,REPORTING,14-05-2023,8547802,6254729,52.039,38.079,6127422,37.303,,04-06-2021,1,4042573,24.611
Chile,CHL,Region of the Americans,REPORTING,02-06-2023,66273384,18106832,346.687,94.72,17716364,92.677,,21-12-2020,5,15766986,82.48
China,CHN,Western Pacific Region,REPORTING,23-03-2023,3515872818,1317994878,238.966,89.581,1284413713,87.299,,22-07-2020,8,833820382,56.673
Colombia,COL,Region of the Americans,REPORTING,02-06-2023,90506612,43012174,177.872,84.532,37019801,72.755,,17-02-2021,5,14792792,29.072
Comoros,COM,African Region,REPORTING,02-10-2022,835021,438825,96.023,50.463,397080,45.662,,10-04-2021,3,,
Congo,COG,African Region,REPORTING,31-07-2022,833210,695760,15.1,12.609,654119,11.854,,23-03-2021,4,,
Cook Islands,COK,Western Pacific Region,REPORTING,31-01-2023,40080,15112,228.194,86.04,14728,83.853,,17-05-2021,1,10240,58.301
Costa Rica,CRI,Region of the Americans,REPORTING,02-06-2023,13371989,4641899,262.499,91.123,4358863,85.567,,24-12-2020,3,2957974,58.066
Côte d’Ivoire,CIV,African Region,REPORTING,19-02-2023,25263932,13568372,95.776,51.438,12164304,46.115,,01-03-2021,5,3138712,11.899
Croatia,HRV,European Region,REPORTING,14-05-2023,5432534,2320087,133.9,57.205,2246484,55.357,,23-12-2020,6,994329,24.502
Cuba,CUB,Region of the Americans,REPORTING,02-06-2023,38105906,10749013,336.428,94.9,10016328,88.432,,,3,8742146,77.182
Curaçao,CUW,Region of the Americans,REPORTING,02-06-2023,260324,108601,158.644,66.183,100885,61.48,,24-02-2021,3,43138,26.289
Cyprus,CYP,European Region,REPORTING,14-05-2023,1858796,669185,209.3,75.366,656113,73.886,,23-12-2020,5,487363,54.883
Czechia,CZE,European Region,REPORTING,14-05-2023,18614118,6972084,174.1,65.197,6887797,64.408,,23-12-2020,9,4365578,40.823
Democratic Republic of the Congo,COD,African Region,REPORTING,16-04-2023,16398195,15388889,18.309,17.183,12873681,14.374,,19-04-2021,1,,
Denmark,DNK,European Region,REPORTING,14-05-2023,15002820,4771581,257.7,81.947,4736323,81.342,,16-12-2020,5,3638964,62.495
Djibouti,DJI,Eastern Mediterranean Region,REPORTING,18-04-2023,392703,372077,39.747,37.66,351712,35.598,,15-03-2021,11,,
Dominica,DMA,Region of the Americans,REPORTING,02-06-2023,67647,32995,93.966,45.832,30659,42.587,,12-02-2021,5,3993,5.547
Dominican Republic,DOM,Region of the Americans,REPORTING,02-06-2023,15972891,7322815,147.244,67.504,6095810,56.193,,16-02-2021,5,2554266,23.546
Ecuador,ECU,Region of the Americans,REPORTING,24-02-2023,39495110,15329151,223.856,86.885,14233323,80.674,,20-01-2021,4,7708466,43.691
Egypt,EGY,Eastern Mediterranean Region,REPORTING,21-05-2023,112673535,56907319,110.103,55.609,42337175,41.371,,24-01-2021,10,15217352,14.87
El Salvador,SLV,Region of the Americans,REPORTING,02-06-2023,11426688,4656627,176.169,71.793,4393762,67.74,,17-02-2021,6,1898202,29.265
Equatorial Guinea,GNQ,African Region,REPORTING,24-07-2022,488738,270109,34.836,19.252,214032,15.255,,12-02-2021,2,4597,0.328
Eritrea,ERI,African Region,REPORTING,03-07-2022,,0,,0,0,0,,,,,
Estonia,EST,European Region,REPORTING,16-04-2023,2204078,845066,165.8,63.588,842103,63.365,,23-12-2020,9,487178,36.658
Eswatini,SWZ,African Region,REPORTING,21-05-2023,867487,526050,74.773,45.343,426134,36.73,,19-03-2021,3,177344,15.286
Ethiopia,ETH,African Region,REPORTING,07-05-2023,54041862,44073766,47.008,38.337,37637944,32.739,,13-03-2021,4,2855358,2.484
Falkland Islands (Malvinas),FLK,Region of the Americans,REPORTING,21-06-2022,9390,3220,269.595,92.449,2976,85.444,,,1,2543,73.012
Faroe Islands,FRO,European Region,OWID,18-02-2022,103894,41715,212.614,85.368,40895,83.69,,,2,21284,43.557
Fiji,FJI,Western Pacific Region,REPORTING,27-04-2023,1555182,712025,173.483,79.428,641194,71.526,,07-03-2021,3,172046,19.192
